content,cf,trend,ndcg10_mean,ndcg10_std,f1_mean,hr_mean
33,33,34,0.01897,0.00111,0.00815,0.04472
40,35,25,0.01573,0.00085,0.00689,0.03772
50,30,20,0.01108,0.00053,0.00487,0.02644
30,50,20,0.03236,0.00142,0.01273,0.06888
20,40,40,0.02980,0.00127,0.01258,0.06956
0,0,100,0.00683,0.00065,0.00375,0.02200
0,10,90,0.00710,0.00069,0.00378,0.02216
0,20,80,0.00805,0.00079,0.00402,0.02356
0,30,70,0.00954,0.00074,0.00477,0.02804
0,40,60,0.01634,0.00080,0.00926,0.05344
0,50,50,0.02969,0.00129,0.01237,0.06948
0,60,40,0.03798,0.00113,0.01539,0.08360
0,70,30,0.04113,0.00116,0.01709,0.09116
0,80,20,0.04248,0.00132,0.01771,0.09304
0,90,10,0.04244,0.00131,0.01772,0.09264
0,100,0,0.04181,0.00130,0.01744,0.09100
10,0,90,0.00680,0.00065,0.00375,0.02196
10,10,80,0.00721,0.00074,0.00386,0.02260
10,20,70,0.00853,0.00073,0.00437,0.02560
10,30,60,0.01146,0.00070,0.00619,0.03600
10,40,50,0.02177,0.00069,0.01115,0.06292
10,50,40,0.03587,0.00130,0.01449,0.07912
10,60,30,0.04071,0.00130,0.01677,0.08952
10,70,20,0.04246,0.00126,0.01760,0.09216
10,80,10,0.04223,0.00144,0.01765,0.09208
10,90,0,0.04182,0.00147,0.01747,0.09108
20,0,80,0.00661,0.00075,0.00364,0.02124
20,10,70,0.00729,0.00087,0.00379,0.02212
20,20,60,0.00950,0.00068,0.00513,0.02996
20,30,50,0.01588,0.00057,0.00831,0.04736
20,50,30,0.03733,0.00154,0.01522,0.08144
20,60,20,0.03933,0.00150,0.01615,0.08540
20,70,10,0.03965,0.00153,0.01624,0.08544
20,80,0,0.03970,0.00146,0.01630,0.08480
30,0,70,0.00626,0.00079,0.00333,0.01952
30,10,60,0.00714,0.00090,0.00379,0.02216
30,20,50,0.01200,0.00065,0.00612,0.03392
30,30,40,0.01804,0.00112,0.00824,0.04556
30,40,30,0.02787,0.00132,0.01094,0.05952
30,60,10,0.03503,0.00163,0.01403,0.07492
30,70,0,0.03608,0.00153,0.01459,0.07736
40,0,60,0.00524,0.00078,0.00263,0.01544
40,10,50,0.00763,0.00078,0.00422,0.02312
40,20,40,0.01056,0.00059,0.00480,0.02584
40,30,30,0.01257,0.00067,0.00556,0.03012
40,40,20,0.01964,0.00116,0.00818,0.04492
40,50,10,0.02673,0.00161,0.01040,0.05656
40,60,0,0.02970,0.00140,0.01168,0.06284
50,0,50,0.00308,0.00062,0.00153,0.00904
50,10,40,0.00662,0.00039,0.00356,0.01900
50,20,30,0.00964,0.00053,0.00438,0.02340
50,40,10,0.01365,0.00085,0.00585,0.03204
50,50,0,0.01910,0.00130,0.00769,0.04200
60,0,40,0.00257,0.00035,0.00134,0.00788
60,10,30,0.00733,0.00046,0.00371,0.01976
60,20,20,0.00971,0.00061,0.00438,0.02340
60,30,10,0.01084,0.00069,0.00470,0.02560
60,40,0,0.01143,0.00081,0.00491,0.02692
70,0,30,0.00258,0.00036,0.00134,0.00788
70,10,20,0.00874,0.00053,0.00402,0.02132
70,20,10,0.01034,0.00071,0.00455,0.02464
70,30,0,0.01037,0.00078,0.00449,0.02444
80,0,20,0.00258,0.00036,0.00134,0.00788
80,10,10,0.00962,0.00061,0.00435,0.02320
80,20,0,0.01004,0.00082,0.00436,0.02364
90,0,10,0.00258,0.00036,0.00134,0.00788
90,10,0,0.01012,0.00081,0.00440,0.02388
100,0,0,0.00118,0.00023,0.00076,0.00444
